moment,agency,social
"My girlfriend laying her head on my shoulder and cuddling up next to me while watching the final episode of Game of Thrones, season 6.",no,yes
Another event that made me happy was being able to watch a movie with my wife last night before bed.,yes,yes
"I found something healthy to eat after searching, since I really don't want to eat the unhealthy bun.",yes,no
I found out that I'm going to be going on a run with a friend later today.,yes,yes
My wife and I had some great sex.,no,yes
Talking to my significant other.,yes,yes
I studied for two hours this morning.,yes,no
The person taking my order at the drive-thru was very friendly.,yes,yes
Drove to the mountains with my wife and enjoyed the sunset.,yes,yes
I finished a good book,yes,no
"I finished my book and I can now go on and begin the next book in the series, and I'm excited to start the next one because of the ending of the first book.",yes,no
I received a text from a friend that I hadn't heard from in a long time.,no,yes
The weather is nice enough today that we are able to cook steaks on the grill outside.,no,yes
I watched a very good movie at the cinema,yes,no
Making myself a perfect lunch.,yes,no
I rode my bike through the woods.,yes,no
I practiced playing the ukulele.,yes,no
I bought  ethical chocolate for a dollar each.,yes,no
"I pet my dog a bit n she spazzed out, wiggling and shaking her stumpy tail.",yes,no
I had ice cream with my friend Liz.,yes,yes
We ordered pizza tonight.,yes,yes
I just learned that the new season of Doctor Who is premiering in mid April instead of August!,yes,no
I enjoyed a brisk walk outside this afternoon.,yes,no
I got to pet my landlord's new puppy and see them attempt to take the puppy on her first walk.,yes,yes
Today when I was working on mturk I got some extra dollars as bonus from a requestor.That bonus made my day .The bonus was really motivating and appreciating for me.It was very happy for me to receive bonus for my work.,no,yes
I sat on my couch and watched the activity outdoors.,yes,yes
Our daughter came to eat with us at the senior retirement center where my husband and I live.,yes,yes
I work with disabled adults and one of my clients comforted another client who was feeling sad.,yes,yes
"Yesterday I received a small bonus from my place of employement and although it was not a significant amount, I still felt happy about it.",no,no
My dog was happy to see my husband when he had been gone for a conference.,no,yes
I completed a mission in a game on the phone.,yes,no
"I went for a long walk this afternoon and it was very pleasant, got some blood in my legs.",yes,no
I watched 'Inside Out' with my son.,yes,yes
I went to church tonight and heard an amazing message about how Christ can and does use us.,yes,yes
What made me happy was telling my coworkers an April Fool's joke.,yes,yes
I finished a reading project that needed to be completed.,yes,no
My dog suffered an injury at the park earlier this week and is starting to use her leg again.,no,no
Taking my family out to eat for lunch and not having to wait to be seated.,yes,yes
"I went on a run for the first time in 2 weeks, and the sunny weather during my run put me in a good mood.",yes,no
I spent some time with my husband.,yes,yes
I played some video games.,yes,no
I ate really good sushi.,yes,no
I signed back up for the WWE Network streaming service and watched a live event with the service.,yes,no
I got my test grades back today and I got a B on my test.,no,no
Eating a special treat with my significant other,yes,yes
completed a big issue and was praises by my manager,yes,yes
when i gave the money to my parents and they thank me a lot for this,yes,yes
I watched Netflix Live Cancelled and really enjoyed what I watched.,yes,no
Another event that made me happy within the past 24 hours was having a nice conversation with my mother on the phone.,yes,yes
I took cute pictures to post on instagram of my trip so far that I love just looking at.,yes,no
I made potstickers for dinner and they were fantastic.,yes,no
I went swimming at a local YMCA.,yes,no
My father came home today from our village after a long vacation.,no,yes
I listened to my favorites songs as I cooked this afternoon and I smiled and moved my hips while chopping veggies.,yes,no
Listening to the great Lauren from IHOP worship music.,yes,no
When my family cooked and buying my favorite clothing for me.,no,yes
My brother got his first paycheck yesterday and so treated me and my mom to lunch.,no,yes
I WENT TO TEMPLE,yes,no
I WENT TO SHOPPING,yes,no
I WENT TO TEMPLE,yes,no
I WENT TO SHOPPING,yes,no
I WENT TO SHOPPING,yes,no
I bought fresh fish from the market at a very low price and it made me happy as the fish was very tasty,yes,no
I got to have lunch with my spouse.,yes,yes
My boyfriend sent me a text message from work stating that he missed me.,no,yes
Went to theater with my family,yes,yes
My team wins a exciting football match today.,no,no
I don't need to worry about work for some moment,yes,no
My wife added a couple of snails to her fish tank and I really like one because it's huge I call it Snailzilla.,no,yes
I had a bonfire with my family and I loved it.,yes,yes
I landed a good paying survey on mturk yesterday.,yes,no
I was happy about attending the music festival in Raleigh.,yes,no
my first present to my mom by my own money,yes,yes
My wife made sticky buns for breakfast this AM.,no,yes
My baby lifted up her head for a long time while cuddling with my husband.,no,yes
The whole family went to a special storytime event together.,no,yes
I had received a bonus for my week effort on my job.,no,no
I got a discount on my shirt it was great.,yes,no
"I fell asleep in the arms of my boyfriend, something I don't get to do very often.",yes,yes
I ate steak and mashed potatoes.,yes,no
My boyfriend and I had a good conversation over the phone.,yes,yes
"I receive a phone call from the girl i like,about a book we talk yesterday,she want to borrow it and that gives me positive vibes that she might like me.",yes,yes
"I watched my new favorite movie last night, Fantastic Beasts, and really enjoyed it, again!",yes,no
I resisted temptation and ate a salad for lunch thus being healthy.,yes,no
Finally getting to sit down and play some video games,no,no
i was happy today when i heard my favorite song on the radio.,yes,no
"I got an email from a friend I haven't heard from in a while, and I responded to him.",yes,yes
"I watched the show ""powerless"" with my girlfriend and we both really enjoyed it.",yes,yes
For the first time I made a soft cake successfully and all family members enjoyed and appreciated the taste was not less than a cake ordered from cake tree,yes,yes
I watched episodes of my favorite tv show.,yes,no
My cat rolled around on his back in the sunlight and it was ridiculously cute.,no,no
I cooked a recipe I saved on the Internet for dinner.,yes,no
Another event that made me happy was reading a good book.,yes,no
Enjoyed to Watch New film,yes,no
I stopped by Pizza Hut and got a pepperoni and sausage stuffed crust pizza.,yes,no
An event that made me happy in the past 24 hours was being able to cook a nice meal for people to enjoy.,yes,yes
I cleaned my car and now when I drive around in a clean car I am happy.,yes,no
My student loan payments didn't bounce and my bank account isn't negative.,yes,no
I played board games with some friends.,yes,yes
My friend and I were able to pass a difficult level on a video game we were unable to complete for a long time.,yes,yes
I was happy listening to songs from Iron Maiden,yes,no
I took a long nap in the afternoon because I felt really tired.,yes,no
I enjoyed a cappuccino at my favorite coffee shop.,yes,yes
"The season premiere of Rick and Morty was amazing, and I had waited so long for it!",no,no
My car had been making a funny noise and I was worried about a big repair bill but I found an honest mechanic who found only a minor problem that was easy and cheap to fix.,yes,yes
A new season of a show I like started airing.,no,no
I was happy after my husband and I had sex.,yes,yes
I had a refreshing soothing shower after the gym.,yes,no
I brushed my dog who has long hair.,yes,no
I watched my favourite hockey team win their game on television.,yes,no
It was very sunny when I got up this morning.,no,no
I ate my favorite meal for dinner.,yes,no
I took a long walk through the park which energized me and cleared my mind.,yes,no
The final four was on t.v.,no,no
I was was served breakfast in bed today.,yes,yes
I get a child free night tonight at a dinner party.,yes,yes
Noticing Girl Scouts selling cookies on my way home and buying some.,yes,yes
Gonzaga won its Final Four basketball game.,no,yes
Spending the day with my sweetheart yesterday made my entire weekend better!,yes,yes
"I had a chance to take a real nice nap in the afternoon, everybody went somewhere else but I stayed home.",yes,no
My father started moving his fingers.,no,yes
"My brother saw that my yard needed to be mowed, and he came and mowed it all without me asking.",no,yes
"My best friend is coming into town this week and confirmed her plans with me yesterday, I am so excited to see her, it has almost been a year!",no,yes
We just booked the 17th cabin on our upcoming group cruise.,yes,yes
I started my wedding planning!,yes,no
My boyfriend got off early from work after I thought he would be there overnight.,no,yes
I received a very special gift from my inlaws to celebrate 10 years of marriage that we celebrated this month.,yes,yes
I was able to afford a 4 pack of Blue Moon to watch with some cheesy Lifetime movies.,yes,no
I played peek a boo with my baby niece.,yes,yes
I passed my math test which was the deciding factor if I passed the class or not.,yes,no
Watching my favorite anime shows,yes,no
I watched Family Guy while high.,yes,no
When I watched more Big Bang Theory.,yes,no
I watched my son attend a birthday party at a gymnastics studio and he was having so much fun running around and jumping.,yes,yes
Going to the movies with my dad.,yes,yes
My dog's vet said she no longer need meds,no,yes
My daughter looking and me and smiling left me happy.,no,yes
"My kids hugging me and giving me kisses, telling me they love me.",no,yes
"I ate my favorite dinner, spaghetti",yes,no
"Last night I had a long talk with a colleague I have known for nearly 30 years, yet we came to know entirely new facets of one another.",yes,yes
I got to spend the day with my girlfriend and it was wonderful.,yes,yes
"I woke up to discover that my daughter prepared breakfast for us, which we ate outside on our deck.",no,yes
Watching a couple new movies that I had been wanting to see.,yes,no
I got a good deal on three twelve pack of sodas.,yes,no
I read a really good book.,yes,no
"My wife ""surprise hugging"" me made me happy.",yes,yes
I got to put off a work project until tomorrow.,yes,no
I had a real fun night out last night with great friends.,yes,yes
My dad called me to tell me that he bought plane tickets to surprise the children for thei birthday this month.,no,yes
Got to eat some Brightside Skittles.,yes,no
I went to church.,yes,no
I attended my church.,yes,yes
My husband told me we can take a trip to Europe in September.,no,yes
Got news about back pay at work.,no,no
I found out that my friend in Texas got a new job and is making great money now.,no,yes
"I received a package in the mail that I have been waiting for awhile, I though it was lost in the mail.",no,no
We are Purchased a New car,yes,yes
Something that made me happy was I packed for the vacation to the Bahamas we're going on this week!,yes,yes
I was feeling sick and made some good soup that was good for coping with being sick.,yes,no
"My boyfriend and I watched both NCAA basketball games without really caring which teams won, and talked about all sorts of stuff.",yes,yes
I talked to my mother on Skype and made her laugh.,yes,yes
I watched a movie with my kids.,yes,yes
My daughter was able to scan her items at the store and pay for them herself.,yes,yes
I had a great phone call with my mom.,yes,yes
I got to spend time with my spouse away from tech and social media.,yes,yes
I had sex with my wife,yes,yes
"On my fun night out last night, one of the things we did was stop by Dave & Busters for a little bit of foods and games.",yes,yes
My fiance texted me and asked if we wanted to go on a date night after he was off work.,yes,yes
I cleaned my dads house for him so it was nice and smelled good.,yes,yes
I went to my cousins baby shower and it made me feel happy that i got to spend time with family.,yes,yes
The wife and I took our 4 year old to Chili's for dinner.,yes,yes
When I awoke my dog was in bed with me.,no,no
I went to church.,yes,no
Marriage of my Dearest friend,no,yes
My daughter finally ate her lunch after weeks of not eating well.,no,yes
Today I got to see two my friends who I hadn't seen for a few weeks.,no,yes
Took the dogs for a walk.,yes,no
My sister and I had a sleepover and talked about childhood memories.,yes,yes
Walked around our Downtown for 5 miles with 2 dear friends.,yes,yes
Today I had a safe trip home from visiting family.,yes,yes
I tried a new recipe with cauliflower and it was delicious!,yes,no
I was very happy cuddling with my wife last night.,yes,yes
Went to San Francisco to explore the city,yes,no
"I ate at my mom's house for dinner, and it was healthy and delicious.",yes,yes
After 2 days of gruesome work finally done.,yes,no
"one of my neighbor was in mental hospital for the last two week and yesterday she came back in a normal state, it was a happy moment for all of us that she came back normally, seems an enjoyable moment.",no,yes
I finally booked my family's stay at hotels for my graduation.,yes,yes
"Going outside made me happy in the past 24 hours, because the weather is getting warmer with each day, and I start to feel really optimistic about April.",yes,no
I spent time with my nieces.,yes,yes
I bought a dress that fit well for $3.,yes,no
I got to see an intimate show by my favorite band.,yes,no
Baseball season started this weekend and baseball is back on tv!,no,no
I sold an item on eBay yesterday that made me happy.,yes,no
I made a good amount of progress in my html course.,yes,no
"I got to spend time with my family yesterday, we went to the zoo and went to dinner after wine tasting.",yes,yes
Completing my shift and driving home.,yes,no
I faced an issue in my project which I resolved and it was successful.,yes,no
Last night I went out to a club with friends and spend a great time and I was really happy.,yes,yes
My husband held me close and gave me a kiss while we were standing on the sidewalk and a woman was walking past.,no,yes
I was romantically engaged with my boyfriend in a lonely place.,no,yes
When my hit amount hit $91.00 mark today for this week I was extremely happy.,yes,yes
I went hiking with my friends.,yes,yes
The event basketball cavs vs golden .Cavs won with Lebron MVP of the mactch made me happy,no,no
After one month of rain less hot climate we got abundant rain here.,no,no
I was happy when me and my girlfriend stopped fighting.,yes,yes
I watched LDS General Conference today and it made me happy.,yes,no
I was really happy yesterday because we had a family reunion.,yes,yes
I WENT TO MEENAKSHI AMMAN TEMPLE SO I FEEL HAPPY.,yes,no
"While I am lying on the sofa, My mother tickle me I was laughing.",no,yes
I WENT TO TEMPLE,yes,no
I WENT TO TEMPLE,yes,no
I WENT TO TEMPLE,yes,no
I finished my work as a busboy today and I don't have to come in the morning to finish up and clean the restaurant.,yes,no
"My brother came home from medical school for the weekend, and we were able to spend time together for the first time in 6 months.",no,yes
I WENT TO TEMPLE,yes,no
I played video games with my friends for a few hours.,yes,yes
I prepared and ate a wonderful dinner.,yes,no
YESTERDAY I WENT TO THE TOUR WITH MY WHOLE FAMILY AFTER A LONG TIME.I MET ALL MY FAMILY MEMBERS AND THEY BLESSED ME.WE ENJOYED OUR TOUR WITH DANCE AND SONGS AND FELT VERY HAPPY.,yes,yes
My niece came in from out of town for one day to help celebrate a family member's birthday,no,yes
My partner and I had some friends over to watch the season finale of The Walking Dead.,yes,yes
I was congratulated by my boss for my work.,no,yes
I played tennis with my friends for the first time this year.,yes,yes
"My wife and I had sex and it was really, really good.",yes,yes
i kissed my love to day,yes,yes
I received a phone call from a friend I had not heard from in quite some time.,no,yes
My husband got a gift for me and that was a happy moment for me,no,yes
The sun was outside and the earth is waking up from a long winter.,no,no
I made pasta for the first time,yes,no
I was happy to watch The Walking Dead Finale!,yes,no
I had dinner with a large group of friends at an outdoor restaurant.,yes,yes
In last 24 hrs I went with my cousin to see a drama n it was so comedy that we laughed so much .i was happy to see the drama for the first time .,yes,yes
I just watched the film called pursuit of happiness that movie really made me to happy and motivated me more.,yes,no
I went to lunch with some friends today,yes,yes
My 6 year olds cheerleading team won their division in yesterdays competition.,no,yes
I passed my laboratory practical test.,yes,no
The Vice President of our company traveled down from Texas to shake my hand,no,yes
"Today in morning I go for a walk with my husband and slowly slowly we are walking with holding each other hands, it makes me feel happy, I am still feeling happiness of that moment.",yes,yes
I was able to stop and see my oldest son on his birthday and bring him a bundt cake for him to enjoy.,yes,yes
I was happy that my grilled pork came out good,yes,no
I have delivered on the baby child .,yes,yes
"In the past 24 hours, My girlfriend and I spent the day preparing Lasagna which is my favorite food.",yes,yes
My son was accepted into his school's math honor society.,no,yes
I met my son and his girlfriend at a local park to take my dog Max for a walk.,yes,yes
My newly adopted cat and old cat FINALLY play and eating together.,no,no
my child calling me mumma for the first time made me a lot proud and happy that I could not overcome the feeling of joy after hearing that from him,no,yes
Getting a big long happy hug from my two-year old grandson.,no,yes
i am purchased my scooty bike.,yes,no
"This morning, I woke up, felt the most rested I have in about a week, had a nice, hot shower, and am having a very good cup of iced coffee.",yes,no
I talked to my sister via video call.,yes,yes
The weekend made me happy because I had a long work week and was looking forward to relaxing on Sunday.,no,no
I felt happy in the arms of my boyfriend while we cuddled and he held me close.,yes,yes
My father expressed how I was the best thing to happen to him,no,yes
"Last night, my wife and I watched a Top 100 music videos of 2016 video on YouTube.",yes,yes
My son played pitcher for the 1st time in a baseball game and did great.,no,yes
Playing a few round of plants vz zombies on my mobile device,yes,no
I won a game of poker against some friends.,yes,yes
"Went to Nephew's party, he just turned 5, Spending time with family was great.",yes,yes
I made some decent progress on my programming project,yes,no
My sister joined us for lunch today.,no,yes
My puppy was able to sleep in until 10 AM.,no,no
I listened to some media that affirmed my views on politics.,yes,yes
"On my way to work i got hit on by a complete stranger, that havent happened in a while.",yes,yes
My mom called me to say that she loved me.,no,yes
I visited my family an hour away.,yes,yes
I installed a traditional light switch to replace a malfunctioning switch.,yes,no
Yesterday I went to the park and it was such a beautiful day that I was outside for hours.,yes,no
I was able to hang out with my girlfriend and watch the NCAA basketball games.,yes,yes
I had sex with my partner.,yes,yes
Watching tennis on TV.,yes,no
I was happy after I finished my workout because I felt accomplished.,yes,no
This morning I was able to SCUBA dive with some good friends at a near by spring.,yes,yes
"I had the first nice, long phone conversation with my high school best friend that I have had in a very long time.",yes,yes
An event that made me happy was going for an hour run in this nice weather today.,yes,no
"when friend called me and asked for dinner, i was so happy.",no,yes
A lady asked me for a ride to a woman's meeting next week that I have been inviting to things for several weeks now to get to know her and connect her with other friends.,no,yes
My daughter seems to have completely gotten over her cold.,no,yes
I managed to make a few more business contacts/connections for some of my online businesses.,yes,no
Cuddling with my cat.,yes,yes
I cuddled with my cats on the couch watching Law and Order: SVU.,yes,yes
My boss just informed me that we are having a delayed start at work tomorrow due to emergency training sessions.,no,yes
I had a really good workout this morning.,yes,no
A situation I have been worried about dissolved,no,no
I had a burger from McDonald's for lunch.,yes,no
My wife bought one shirt for me and I was happy to get it.,no,yes
Ate lunch with family.,yes,yes
Going to church made me feel happy today.,yes,no
I bought a new laptop.,yes,no
Watching ghost in the shell with my son.,yes,yes
Spending time with my brother.,yes,yes
"I got a call from my agent , about my home baying approval.",no,yes
"last night I get mail from my  university,I selected for higher studies and I got merit Scholarship for abroad studies so am very happy for last night with my family members,i am very joy and celebrate party with my friends.",yes,yes
"I ate a nice dinner with friends, without any issues.",yes,yes
I was able to make up with my girlfriend after a huge fight.,yes,yes
Finding replacement cups at goodwill today for my magic bullet.,yes,no
I m very happy when my family use Vivel products on my suggestion.After a long discussion my family agree these products.,no,yes
"i go to temple and i say the poor man,help is very hungary and i help for him i am very happy",yes,yes
A very close friend gave me a piece of advice at a time that I needed to hear it most.,no,yes
I reached an important milestone in the video game I was playing.,yes,no
I purchased a strength band to do some workouts at home and found a really good one after weeks of searching.,yes,no
I was happy when I bought a new video game.,yes,no
I received compliments for the chicken dinner that I made tonight.,no,yes
Rick and Morty season 3 episode 1 was posted as an April fools gag after waiting a long time for the next season to start.,no,no
"When I am getting ready to go to my office, my parents send off with cute smile and say ""Have a nice day and take care""",no,yes
"When I am getting ready to go to my office, my parents send off with cute smile and say ""Have a nice day and Take care""",yes,yes
"When I am getting ready to go to my office, my parents send off with cute smile and say ""Have a nice day and take care""",no,yes
"When I am getting to go to my office, my parents send off with cute smile and say""have a nice day and take care"".",no,yes
That suddenly jumped my self certainly my wife came,no,yes
I AM GOING TO RAJ HOTEL WITH MY COLLEGE FRIENDS THAT EVENT IS VERY HAPPY MOMENT,yes,yes
Listening to the band Belial.,yes,no
I turned in a work project this afternoon and the person I contact for complimented it.,yes,yes
A close friend from Europe came to visit me for the first time in a few months.,no,yes
I WENT TO TEMPLE,yes,no
I WENT TO SHOPPING,yes,no
our whole family went to cinema theater  to enjoyed lot and watched cinema,yes,yes
I was cuddling my boyfriend on the couch while watching a movie.,yes,yes
I WENT TO TEMPLE,yes,no
I WENT TO SHOPPING,yes,no
I WENT TO SHOPPING,yes,no
our whole family went to cinema theater  to enjoyed lot and watched cinema,yes,yes
I ate tacos with guacamole and chips with my co-workers for lunch.,yes,yes
"I recently got accepted into graduate school, and it was a school that I was hoping to get into.",no,no
I WENT TO SHOPPING,yes,no
My team won the basketball game.,no,yes
I ate fresh sushi for dinner.,yes,no
I got to eat a burrito after having not eaten all day.,yes,no
I WENT TO SHOPPING,yes,no
yesterday 8 friends came for lunch to our home and we enjoyed a lot.,yes,yes
I got my homework done early so I can enjoy my last few hours before school start.,yes,no
I learned how to use the pool vacuum.,yes,no
My husband stayed home over the weekend and he spent some time with my children and i,no,yes
I had a get together with my school friends and it made me happy,yes,yes
I arrived back at home after a weekend road trip.,yes,no
I was able to complete a job for my direct boss that had previously taken me about 3 tries to complete.,yes,no
When we watched our favourite movie together as a family.,yes,yes
I got paid for a free lance assignment that I finished a while ago today.,no,no
"I watched a YouTube video about an abandoned dog that was rescued from the streets and taken care of, then placed in a new home with loving owners.",yes,no
"Finally, closed a deal to fix my seat covers.",yes,no
A customer told me about his vacation.,no,yes
I chatted with one of my best friends for an hour which doesn't happen often.,yes,yes
I won the best mother certificate in my child school,yes,yes
I cooked a pork roast in the crock pot and it turned out really well.,yes,no
I was finally able to finish up the last stanza of a poem that I had been working on for a while and had been stuck on.,yes,no
I was happy that my son went fishing with my husband instead of staying home and playing video games.,no,yes
had coffee with my mother before work,yes,yes
My mother discharged from the hospital after long period,no,yes
I saw my son and we had a nice conversation about his new job.,yes,yes
i've eaten a pizza last night,yes,no
My cat children were showing me their affection.,yes,no
i got a dimond ring as gift from my uncle,yes,yes
I was able to eat fast food for the first time this week.,yes,no
Laughing at a hilarious thing our 4-year-old said at dinner.,yes,yes
I booked my flight ticket to go back to college.,yes,no
MY WIFE IS PREGNANT,no,yes
I talked to my father for the first time in weeks since he has been overseas.,yes,yes
I got to drink a beer from the brewery that was previously unavailable in my state.,yes,no
My wife made me breakfast,no,yes
"After a very busy day at work yesterday, I was very happy to get home and put my feet up.",yes,no
I won $50 on an instant lottery ticket.,yes,no
Eating with my family before taking off back to college.,yes,yes
I watched the season finale of The Walking Dead and it was a good episode.,yes,no
My cat came to me when I called it.,yes,no
My cat slept through the night and let me sleep in this morning.,no,no
"My friend told me that the guy I suggested she match on a dating app has been texting back and forth with her for over a week, and their conversations are really fulfilling and fun.",no,yes
My husband won his bet on the Women's Final Four game.,no,yes
A friend sent me a funny cartoon in an email.,no,yes
i attended an enthusiastic and very joyful sports day in my daughter's school in which she won a prize.,yes,yes
I socialized with friends online.,yes,yes
"I ate Zaxby's yesterday, and it was a good meal.",yes,no
My husband kissed me and told me to stay in bed while he took care of our son this morning.,no,yes
Last night I was able to sit and enjoy a cup of tea and a snack while curled up with a book without any interruptions.,yes,no
My daughter in law moved in to the house and is helping out.,no,yes
I had five guys burger and it was so good.,yes,no
Watching a movie with my girlfriend was educational,yes,yes
I looked in my fridge and saw that I still had one slice of cake left.,yes,no
The wife said she would give the kid a bath tonight instead of me.,no,yes
I watched an online stream of a music concert.,yes,no
I had my favorite breakfast cereal mixed with peanut butter.,yes,no
My dog peed on me while he was on the deck and I was underneath him - my wife and I both laughed about this for a really long time,no,yes
Laying in bed this morning just casually browsing the internet on my phone since it was Sunday and no work.,yes,no
I made it to church on time this morning even though I was running 10 minutes behind when I left the house.,yes,no
Today the guy that I am casually seeing called me on his way back home.,yes,yes
I made muffins with my son.,yes,yes
I got encouragement from my grandpa regarding my progress in college.,no,yes
Family dinner on Sunday was delicious and a nice time as a family!,yes,yes
Cuddling with both of my dogs in my chair.,yes,no
I hung up the painting my girlfriend made me.,yes,yes
My sister got me a second-hand drum set that was posted for free on a community listserv page.,no,yes
My husband and I hung our DIY headboard.,yes,yes
me and my sister went to meet our parents,yes,yes
My family got to go out for pizza with our friends.,yes,yes
"I saw the progress report of a coworker that I have been helping out and it looked fantastic, which made me very happy.",no,yes
yesterday midnight My cousin sister gave birth to twin babies which was very surprising and is very happy to hear that we got twins in our family.,no,yes
I found out Prison Break was coming back for a fifth season.,no,no
I streamed videos with my long distance best friend.,yes,yes
"I received phone call from officials I was not expecting of, it made me happy because the call rewarded my expectations.",no,yes
My mom sent me a card in the mail for Easter.,no,yes
I went out to dinner,yes,no
I had a long discussion with my friend and helped him through a troubling time.,yes,yes
I made a good amount of money on Mturk yesterday.,yes,no
Listened to my fave music,yes,no
Getting to snuggle and read books with my son.,yes,yes
"I got a pizza, it has all my favorite toppings on it.",yes,no
"I made mango shake with a twist, and it came out delicious, and everybody liked it.",yes,yes
The lift in my residence apartment which was out of order for last 3 days got repaired today,no,yes
My kindergartener read an entire book by herself at bedtime.,no,yes
My mom grilled pork chops for dinner and they were perfectly seasoned.,yes,yes
I was happy when my children went to sleep so I could get on my computer and relax.,yes,yes
Today I purchased a new shirt today with my favorite color white.,yes,no
"I started doing exercise again, after a break of 2 months.",yes,no
"When I am come to my office I me my grandpa and grandma, They shared me about my uncle's  summer vocation trip and blessed me to get a bright future in my life",yes,yes
AM GOING TO MY GRANDMOTHER HOUSE WITH MY SISTERS AND VERY ENJOYING HAPPINESS THAT MOMENT,yes,yes
Remembering I had left-over tacos when I was looking for lunch yesterday.,yes,no
I earned profit from my new business.,yes,no
I finished my Italian homework,yes,no
"My husband and I cooked an apple crisp together, which was a lot of fun to do, and eat after.",yes,yes
THE BORD EXAM FOR THE SCHOOL FINAL ENDED DAY BEFORE LAST DAY  AND MY DAUGHTER WORKING IN AN IT COMPANY GAVE HER PRECIOUS TIMES  TO HELP ONE HANDICAPPED STUDENT BY WRITING HER ANSWER PAPER IN THE EXAM HALL WITH PRIOR PERMISSION AND HOPE GOD'S BLESSING WILL BE WITH MY DAUGHTER AND THIS MADE ME FEEL VERY VERY HAPPY.,no,yes
I WENT TO HOUSE,yes,no
"I talked to my parents on the phone for about a half hour, and it was super nice talking with them and catching up.",yes,yes
My husband took me to the shopping mall and I was happy roaming in the mall.,yes,yes
I managed to get cheap housing for my internship this summer.,yes,no
My work colleague gave me the news that I was promoted to a higher rank.,yes,yes
I weighted myself on the scale and saw a move in the right direction.,yes,no
I found new music that I enjoy,yes,no
I was happy when my partner gave me a lovely massage,yes,yes
When my son sang a song to make my uncle smile who was unwell.,no,yes
"When we returned from the beach,we went to a restaurant for having the dinner.",yes,yes
Prepared biryani for the first time,yes,no
it made me happy to finish my goal of studying french this morning.,yes,no
My dog cuddled with me all day,yes,no
Playing with my child,yes,yes
I read a few stories to my children.,yes,no
My mom brought home some cake from my favorite bakery.,no,yes
I saw a beautiful eagle flying over my house last night.,yes,no
Our family went to Buca Di Beppo for my father-in-law's birthday and the food was delicious.,yes,yes
My boyfriend and I made homemade pasta sauce together.,yes,yes
My wife surprised me last night and got us a bottle of wine to share.,no,yes
yesterday my brazilian soccer team have winned a match,yes,yes
My cat sat on my lap for a little while and let me pet and hug him.,no,yes
"KFC for dinner, my favorite!",yes,no
I was able to teach my coworkers a new skill at work.,yes,yes
Walking my dog around the block.,yes,no
My latest package from Amazon arrived earlier than anticipated.,yes,no
I PURCHASED A GIFT TO MY DAD ON HIS BIRTHDAY,yes,yes
My daughter and I went to the playground and played together.,yes,yes
I was very happy when I got up this morning and both my kids were still asleep so I could relax and drink some coffee!,yes,yes
My wife and I were reminiscing the days that we first started dating.,yes,yes
I was able to go out and enjoy a nice dinner with my partner in a new restaurant that we've been wanting to go.,yes,yes
"I made eggs and toast and a smoothie for myself this morning, and it energized me.",yes,yes
I got to eat my favorite meal and desert.,yes,no
"I was happy after everyone in my home went to sleep, and I was able to finish some work.",yes,no
I spent some time within the last 24 hours playing video games.,yes,no
"Yesterday, I got to go on a nice long bike ride as the weather was unusually mild.",yes,no
I went shopping after work at Big Lots and got a lot of food that I couldn't normally afford at a deep discount due to their one day sale.,yes,no
i went with my family to a wonderful movie after which we had a delicious dinner at a famous hotel yesterday.,yes,yes
I picked my uncle and aunt who came back from holidays.,yes,yes
One thing that made me happy in the last 24 hours was taking a nice hot shower.,yes,no
I had my girlfriend's family over for dinner yesterday at our new apartment.,yes,yes
"I stopped at the new Taco Bell this evening to try it out, hadn't been to a Taco Bell for a few years, and ordered the three taco combo and it was actually very tasty, very good.",yes,no
I went to the movies with my friend today to see the movie Life.,yes,yes
"I broke $500 in one day on Mechanical Turk yesterday - not a milestone for me, as my record was higher than that, but it was a very, very good day.",yes,no
"While getting my morning coffee at a local coffee shop, I had a nice conversation with a woman I met in line.",yes,yes
My granddaughter and grandson came over for dinner and spent the night with us.,no,yes
My favorite baseball team won their second game of the 2017 season in a hard-fought effort and it was great because they lost the first game of the year!,yes,no
"I had my annual performance evaluation this morning, I did well, it was lovely to hear compliments and appreciation.",no,yes
Finding out that some items I donated yesterday found their way to new homes made me feel happy because I felt like I was helping others and being efficient with my resources.,yes,yes
"Opening day for baseball was today and I listened to the Reds game for awhile on the radio, that was enjoyable.",yes,no
I ate some tv dinner food.,yes,no
A customer called in and attached multiple optional services which carries extra commission.,no,yes
Getting my checks for the month for my business.,no,no
I was very happy last night because I was able to have a long phone conversation with a friend that I had not heard from in a couple years.,yes,yes
I went to a party with a friend of mine and was able to talk to a lot of people I had not spoken to in months.,yes,yes
I had an excellent submarine sandwich for lunch.,yes,no
My favorite MLB player had a good game last night and has hopefully broken the terrible curse that seemingly took possession of him last season when he couldn't hit the ball to save his life.,no,yes
"My 15 year anniversary is coming up, and I'm planning a trip.",yes,no
I made a delicious corned beef brisket for dinner.,yes,no
I did yoga this morning to try to make my back and neck more limber.,yes,no
It made me happy when I saw a dog eating with his cute face,no,no
"I rented a rug cleaner and cleaned all of our carpets, and they look really good now.",yes,no
I had a good work day where I nearly met all of my goals.,yes,no
Seeing my oldest daughter come back from school and smile at the sight of her baby brother.,no,yes
"Mcdonald's is thinking about bringing back the szechuan sauce they originally released in 1998, and I'm looking forward to sampling that.",no,no
"My friend cooked me a frozen pizza, and it was delicious.",no,yes
